Student Number,Person ID
681884,737668
676613,735943
675921,735539
675851,735523
675705,735495
675502,735415
674833,735168
674737,735114
674389,735076
671581,734977
671577,734976
671534,734962
671522,734957
671514,734951
671480,734921
671476,734917
671474,734915
670879,734806
670769,734772
670097,734703
670093,734699
670088,734693
669093,734417
668694,734368
663592,733950
663150,733828
663120,733802
661304,733124
661274,733094
658621,732590
658579,732553
658440,732531
657955,732389
657381,732323
656166,731992
655009,731801
654978,731793
654697,731754
654107,731687
654103,731684
654078,731658
652942,731362
652840,731298
651940,731122
651890,731080
651661,731020
651436,730972
651249,730876
651147,730814
650331,730661
649894,730440
649611,730377
648819,730080
647750,729858
645350,729366
645323,729348
645205,729338
644152,728947
644096,728888
644025,728831
643891,728760
643300,728544
642410,728313
641883,728158
641831,728122
640739,727933
640261,727761
640186,727694
639944,727586
638884,727315
638407,727115
637922,726902
637921,726901
637917,726898
637912,726894
637906,726890
637901,726886
637893,726880
637892,726879
637889,726878
637888,726877
637886,726876
637869,726863
637853,726850
637842,726839
637838,726835
637837,726834
637831,726828
637813,726811
637794,726792
637785,726783
637782,726780
637769,726768
637768,726767
637761,726762
637760,726761
637759,726760
636916,726463
636909,726460
636901,726456
636896,726453
636880,726445
636845,726430
636829,726422
636801,726402
636798,726400
636781,726387
636760,726371
636727,726347
636708,726331
636678,726309
636674,726305
636665,726297
636507,726198
636266,726155
635555,725982
635063,725810
634317,725552
634245,725511
634162,725473
633114,725018
632881,724931
632851,724909
632830,724895
632789,724865
632787,724864
632771,724852
632734,724827
631231,724408
630581,724142
630574,724136
630497,724066
630479,724049
630110,723938
629738,723777
628923,723435
628848,723361
628829,723342
628722,723314
628531,723134
627340,722755
627217,722630
626708,722442
626334,722331
626328,722325
626290,722287
626228,722228
626118,722158
626113,722154
625983,722108
625931,722085
625891,722046
625643,721838
623545,721128
623532,721117
622814,720796
621806,720531
621748,720494
621609,720427
621029,720138
620963,720112
619674,719812
619622,719765
619606,719749
619600,719743
619566,719710
619560,719705
618383,719269
618305,719229
618276,719210
618241,719180
617788,718968
617556,718871
617391,718816
615711,718381
615670,718339
615600,718277
615550,718232
614966,717845
614965,717844
614693,717725
613826,717316
613670,717200
612650,716650
612617,716629
612612,716625
612121,716303
609780,715461
608164,714783
608155,714774
608137,714756
607131,714467
607044,714407
606443,714077
606411,714061
606396,714050
606356,714019
606325,713991
606300,713972
606298,713969
606282,713957
606280,713955
606265,713939
606262,713936
606209,713895
605374,713467
605021,713316
604845,713167
604540,712962
604333,712823
603997,712661
603953,712630
603913,712590
603873,712551
603869,712547
603864,712542
603804,712486
603364,712354
601927,711740
600823,711035
600808,711025
600771,710996
600770,710995
600693,710942
600692,710941
600679,710929
600678,710928
600676,710926
600673,710923
600671,710921
600657,710907
600653,710903
600646,710896
600637,710886
600631,710880
600218,710517
599965,710384
599949,710375
599369,710215
599348,710200
598848,709890
598345,709614
597734,709177
597733,709176
597664,709130
596256,708754
596091,708738
595950,708673
595252,708456
595164,708414
595163,708413
595110,708383
594804,708304
594520,708175
594497,708168
594330,708042
594160,707876
593914,707687
593900,707676
593878,707654
593850,707630
593844,707625
593842,707623
593829,707610
592884,706978
592879,706972
592775,706872
592766,706863
591226,706081
590470,705572
590205,705514
590079,705396
589839,705259
589814,705234
589783,705214
589778,705211
588880,704728
587705,704269
587511,704174
586561,703735
586538,703712
586483,703666
585801,703317
585186,702959
584284,702707
584242,702686
584172,702641
584089,702583
584018,702548
583766,702344
583725,702307
583708,702292
583683,702275
583577,702204
583575,702202
583568,702196
582911,701632
582800,701527
582795,701522
582772,701503
582038,701070
581378,700732
581337,700696
580021,700069
579023,699620
579004,699604
578996,699598
578904,699543
578867,699528
578759,699470
578703,699441
578586,699346
578522,699290
578397,699196
577890,698912
577744,698808
576818,698222
576481,697994
576183,697811
576143,697777
576016,697734
575528,697278
575524,697274
574820,696930
574526,696721
574441,696662
574250,696583
574225,696564
574200,696550
574199,696548
574148,696512
574142,696507
573675,696158
573664,696151
573653,696146
573596,696124
573510,696080
573496,696068
572375,695612
572346,695594
572244,695551
571695,695260
571621,695191
570120,694645
569525,694386
569402,694312
568484,693881
567444,693349
567364,693291
567338,693271
567303,693246
567245,693205
566241,693038
565947,692909
565824,692859
565722,692810
564837,692442
564596,692269
564059,691940
563778,691794
563713,691745
563353,691389
563323,691360
563032,691185
563016,691172
563001,691157
562958,691119
562686,690969
562273,690770
560451,689482
560437,689470
560426,689463
560405,689446
560402,689444
560395,689438
560378,689423
560374,689420
560373,689419
560372,689418
560361,689409
560356,689404
560343,689392
560342,689391
559034,688911
557628,688429
557533,688388
556690,687817
556664,687793
556654,687784
556649,687779
556645,687775
556632,687762
556628,687758
556617,687747
556602,687732
556598,687728
556573,687705
556570,687702
556565,687697
556553,687685
556545,687677
556527,687659
556138,687482
556111,687456
556104,687449
556054,687406
554819,686793
554726,686719
554640,686658
553422,686056
553272,686037
553216,685996
552861,685723
552559,685459
551786,684910
551524,684726
551499,684703
551455,684664
551317,684583
551245,684548
551145,684501
551020,684426
551008,684421
550958,684391
550886,684353
550508,684298
548760,683337
548707,683315
548680,683308
548678,683306
548673,683301
548665,683293
548611,683249
548460,683187
547045,682330
547018,682307
545869,681663
545862,681662
545837,681644
545826,681637
545798,681627
545788,681622
545723,681604
545709,681594
545705,681590
545691,681582
545667,681570
545665,681569
545654,681562
545640,681554
545614,681542
545611,681539
545609,681538
545595,681531
545591,681528
545590,681527
545588,681525
545582,681521
545579,681518
545575,681514
545570,681510
545561,681501
545549,681490
545540,681483
545536,681481
545527,681474
545521,681472
545355,681348
545170,681183
544678,680814
544645,680783
544606,680752
544085,680360
544046,680319
543995,680272
543951,680231
543882,680195
543854,680173
543634,680093
543329,679915
542221,679411
542211,679403
541009,678932
541008,678931
540969,678903
540940,678881
540283,678426
538998,677702
538841,677622
538802,677592
536765,676555
536202,676336
533937,675409
533598,675194
533376,675057
533003,674848
532951,674803
532925,674785
532920,674781
531344,673985
530801,673768
530799,673766
530218,673387
529955,673239
529398,673019
529278,672897
529241,672860
529226,672845
529214,672833
529213,672832
528506,672610
528389,672522
528238,672377
527917,672083
526569,671307
526405,671155
526285,671038
526210,670968
526176,670948
526174,670946
526110,670896
525506,670769
525426,670722
524615,670170
524486,670048
524401,669967
524341,669945
523730,669444
523648,669370
523609,669349
523606,669348
523517,669314
523418,669263
523021,669054
523018,669053
522995,669046
522934,669018
522906,668993
522899,668989
522879,668970
520596,667584
520144,667323
520113,667311
520087,667304
520014,667259
519960,667210
519931,667185
519817,667135
519747,667070
519209,666564
519113,666477
518321,665839
518201,665742
517997,665582
517885,665507
517617,665330
516363,664598
516269,664520
516248,664502
516234,664489
515323,663907
514679,663613
514378,663403
514335,663365
514259,663312
514235,663291
514224,663284
514074,663168
514069,663165
513920,663032
513749,662944
512296,662248
512179,662189
512047,662079
511810,661979
511788,661960
511786,661958
511617,661814
511610,661808
511309,661663
511179,661585
510325,660998
510299,660971
510274,660947
510257,660934
510192,660869
510184,660860
509037,660062
508795,659866
508275,659558
507890,659320
507725,659212
507215,658809
507181,658780
507114,658722
507083,658693
507070,658681
505720,657731
505702,657716
505649,657669
505293,657413
505253,657389
505009,657233
504306,656740
504239,656691
504189,656655
504188,656654
504130,656617
504085,656601
503461,656305
503260,656130
503251,656122
503196,656077
503128,656047
503074,656020
503069,656015
502772,655768
502291,655509
502283,655503
502067,655334
501860,655162
501854,655156
501853,655155
501793,655102
501780,655091
501776,655088
501765,655079
501358,654817
500853,654391
500622,654184
500529,654106
500283,653883
500098,653740
499638,653403
499552,653334
499475,653281
499380,653221
498841,652902
498822,652887
498776,652848
498761,652834
498694,652770
498140,652305
498052,652226
498017,652192
497905,652081
497752,651927
497734,651909
497608,651847
497599,651838
497551,651805
497300,651581
497273,651555
497183,651470
497138,651427
497129,651418
496864,651171
496732,651058
496723,651049
496589,650927
495686,650232
495637,650198
495626,650188
495622,650184
495618,650181
495613,650176
495609,650173
495601,650165
495594,650158
495588,650152
495584,650149
495572,650139
495566,650133
495556,650124
495552,650120
495547,650115
495542,650112
495538,650109
495536,650107
495531,650102
495529,650100
495527,650098
495513,650085
495511,650083
495400,650031
495390,650027
495371,650020
495293,649975
495239,649938
495068,649818
494920,649684
494904,649668
494830,649599
494169,649125
494004,648972
493790,648787
493789,648786
493769,648767
493234,648488
493118,648390
492137,647642
492098,647603
492078,647582
492007,647513
491733,647304
491725,647296
491027,646716
490966,646662
490274,646043
490220,645993
490204,645977
490176,645950
490147,645923
489553,645606
489443,645512
489370,645445
489257,645348
489250,645341
489046,645166
488957,645083
488342,644773
488316,644753
488194,644653
487813,644449
487594,644259
487300,644156
487197,644073
487051,643991
486822,643812
486239,643585
486211,643556
485688,643252
485603,643173
485593,643163
485132,643051
485104,643026
485100,643022
485077,642999
485075,642998
485071,642994
485056,642980
485035,642961
485023,642950
485017,642945
485016,642944
485012,642940
484838,642845
484813,642833
484741,642805
484703,642787
484400,642623
484229,642499
484222,642494
484206,642479
484189,642462
484071,642396
482829,641610
482800,641583
482793,641576
482058,641061
481741,640895
481658,640827
481640,640811
478828,639823
477990,639046
477981,639036
477945,638996
477940,638992
477912,638971
477909,638968
477882,638947
477869,638935
477867,638933
477857,638926
477846,638917
477445,638736
477000,638527
476901,638447
476828,638386
476819,638377
476801,638362
476770,638333
476728,638295
475709,637727
475651,637673
474909,637029
474837,636961
473818,636394
473418,636020
472637,635495
472532,635396
472377,635267
471736,634837
471282,634464
471181,634371
470605,633831
469530,632956
469528,632954
469524,632950
468571,632310
468522,632261
467772,631660
465554,629729
464731,629032
464250,628714
464049,628529
464003,628486
463987,628472
463954,628440
463927,628412
463925,628410
463885,628370
463869,628354
463866,628351
463862,628347
463861,628346
463826,628310
463822,628306
463814,628299
463379,628060
461208,626773
461196,626761
460824,626454
460785,626422
460784,626421
460777,626414
460765,626403
460759,626398
460063,625936
460058,625931
460025,625897
459951,625825
459946,625819
457920,624334
457717,624144
457131,623606
456997,623475
456844,623335
456803,623295
455900,622484
455762,622389
454669,621435
454148,620979
453611,620489
453001,619959
452960,619919
452931,619891
452863,619833
452855,619826
452626,619612
450608,617943
448904,616663
447677,615530
446966,615071
446569,614730
446547,614711
446524,614689
446202,614389
446078,614301
445388,613816
445366,613792
445355,613781
445251,613675
444203,612873
444095,612771
444035,612712
443208,612120
442648,611668
441540,610856
440354,609764
439970,609408
439209,608704
439100,608623
438539,608180
437585,607334
436895,606726
436879,606711
436878,606710
436487,606357
435998,605894
435995,605891
435614,605539
435510,605444
435359,605303
435269,605240
433991,604391
430771,602753
430738,602724
430729,602715
430648,602647
430640,602639
430160,602201
430108,602163
430036,602101
428559,600938
428504,600885
427457,599930
427426,599905
425744,598667
425494,598439
425491,598436
424353,597672
422977,596528
422536,596098
422506,596067
422505,596066
422409,595973
421921,595609
421126,595087
421009,594975
420989,594955
420986,594952
417875,592949
417302,592638
414888,590851
414166,590316
413082,589315
413012,589255
406320,584669
406121,584516
406040,584436
405973,584370
405839,584243
404134,582892
403443,582302
401687,580882
401463,580669
397505,577499
396878,576943
396270,576545
393565,574329
390609,571746
387333,569617
385729,568460
380057,564627
380052,564622
374413,561097
372024,559407
362674,552087
356,547785
343533,538066
335934,531850
332937,529549
301188,509107
283517,497540
276697,493319
272770,491029
245188,473950
245180,473945
1382013,406527
1382010,406524
1381741,406234
1381664,406172
1380293,404961
1380276,404945
1380118,404788
1378968,403658
1377647,402256
1376649,401229
1375995,400550
1375783,400332
1375770,400318
1375280,399818
1375272,399810
1375221,399757
1374489,398986
1374483,398980
1374267,398747
1374255,398734
1374233,398712
1374232,398711
1373867,398328
1373622,398076
1373457,397904
1373233,397678
1371809,396331
1371601,396124
1369568,394126
1368407,392991
1368081,392669
1368046,392634
1367906,392499
1367743,392341
1367742,392340
1367251,391859
1365632,390181
1363728,388260
1363178,387719
1362205,386734
1359961,384399
1359940,384377
1359931,384368
1359242,383674
1359220,383651
1358637,383135
1356178,380797
1356140,380758
1354793,379367
1354742,379314
1352831,377393
1351781,376286
1350827,375305
1350402,374861
1347461,371906
1346976,371413
1345291,369633
1343838,368138
1342448,366722
1335105,359011
1335028,358930
1334644,358520
1334505,358369
1332782,356524
1330097,353710
1329801,353419
1329791,353409
1329589,353209
1329009,353000
1329007,352998
1329006,352997
1328743,352737
1328685,352681
1327697,351727
1327629,351663
1327627,351661
1327622,351656
1327269,351312
1327099,351148
1326794,350843
1326735,350785
1326693,350743
1326472,350529
1326263,350317
1326094,350143
1325955,350004
1325000,349032
1324973,349006
1323863,347843
1323700,347672
1323663,347634
1323650,347621
1323497,347465
1323406,347379
1321733,345632
1321448,345357
1321128,345069
1321098,345038
1320947,344888
1320889,344830
1319490,343478
1316298,340325
1315616,339654
1315601,339640
1314878,338934
1313337,337450
1313225,337342
1313144,337266
1313098,337223
1310540,334791
1310419,334702
1309827,334213
1306540,331125
1306485,331069
1306062,330624
1305013,329540
1303022,327459
1301361,325776
1300749,325164
1300209,324642
1298311,322751
1290316,314589
1290304,314579
1288734,313015
1287040,311330
1286561,310827
1285265,309477
1283483,307781
1283208,307531
1283151,307480
1283063,307400
1282957,307307
1282912,307267
1282273,306700
1280389,304933
1280248,304803
1279860,304434
1279532,304131
1279485,304085
1278709,303326
1278396,303027
1278084,302735
1277916,302621
1276915,301693
1276325,301109
1276005,300780
1275877,300657
1275544,300354
1274732,299570
1273621,298475
1273410,298274
1273317,298175
1272747,297632
1271714,296671
1271504,296475
1271181,296170
1270655,295686
1270393,295447
1269476,294586
1268685,293884
1268443,293625
1267772,292940
1265396,290562
1265328,290491
1264786,289925
1263427,288602
1263274,288444
1261424,286987
1260969,286521
1260024,285536
1259922,285430
1259632,285128
1259354,284839
1259134,284615
1257190,282650
1255927,281344
1255727,281159
1254471,279891
1254227,279634
1245981,271527
1244985,270611
1244840,270477
1243151,268717
1242291,267870
1239558,265234
1236859,262538
1236835,262514
1236561,262257
1236047,261738
1236038,261728
1235596,261279
1235574,261255
1233580,259233
1233575,259227
1233520,259171
1233152,258779
1232542,258183
1232281,257938
1231987,257665
1231782,257471
1231729,257420
1230264,256041
1230132,255913
1229199,255022
1228711,254571
1228688,254550
1228420,254290
1227456,253299
1226763,252599
1226753,252590
1225853,251733
1224455,250354
1224421,250319
1223552,249434
1223546,249428
1221732,247589
1221567,247429
1221227,247076
1220210,246054
1220177,246021
1220136,245978
1219106,245047
1218054,243958
1218033,243935
1218007,243907
1217406,243279
1216622,242456
1215514,241350
1213708,239530
1212153,237984
1211052,236870
1210009,235898
12094389,1851018
12094303,1850192
